Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date
20031017X01759,Accident,NYC03CA189,2003-09-02,"Hebron, KY",United States,39.053333,-84.653333,CVG,Cincinnati/Northern Kentucky,Non-Fatal,Substantial,Airplane,N413FJ,Fairchild,Dornier 328-300,No,2.0,Turbo Fan,Part 121: Air Carrier,SCHD,Personal,Atlantic Coast Airlines (dba: Atlantic Coast Airlines),0.0,1.0,0.0,23.0,VMC,Standing,Probable Cause,05-02-2004
20031216X02050,Accident,CHI04LA042,2003-12-16,"MOSINEE, WI",United States,44.7775,-89.666667,CWA,CENTRAL WISCONSIN,Non-Fatal,Substantial,Airplane,N399CZ,Beech,99,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,NSCH,Personal,Freight Runners Express Inc,0.0,0.0,0.0,1.0,IMC,Landing,Probable Cause,12-09-2016
20040623X00853,Accident,ANC04FA063,2004-06-14,"Kodiak, AK",United States,57.761667,-152.303056,ADQ,KODIAK,Fatal(1),Destroyed,Airplane,N401CK,Beech,C-45H,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,NSCH,Personal,Bellair Inc,1.0,0.0,0.0,3.0,IMC,Go-around,Probable Cause,17-11-2009
20040709X00936,Accident,CHI04LA167,2004-06-30,"GREEN BAY, WI",United States,44.483333,-88.133333,GRB,AUSTIN STRAUBEL INTERNATIONAL,Non-Fatal,Substantial,Airplane,N432FA,Beech,200,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,NSCH,Personal,Frontline Aviation Inc,0.0,0.0,0.0,8.0,VMC,Takeoff,Probable Cause,24-02-2009
20041005X01568,Accident,ANC04CA085,2004-08-04,"HUSLIA, AK",United States,65.6975,-156.351111,Unknown,John F. Kennedy International,Non-Fatal,Substantial,Airplane,N300SN,Cessna,402C,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Personal,Arctic Circle Air Service Inc (dba: Arctic Circle Air),0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,03-12-2004
20040827X01301,Accident,SEA04CA164,2004-08-13,"ROSE LAKE, ID",United States,47.530278,-116.565278,Unknown,John F. Kennedy International,Non-Fatal,Substantial,Airplane,N9752Z,Cessna,U206G,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Personal,Brooks Seaplane Service Inc.,0.0,0.0,0.0,3.0,VMC,Approach,Probable Cause,28-10-2004
20041105X01770,Accident,ANC04CA114,2004-09-24,"WILLOW, AK",United States,62.083333,-149.516667,Unknown,John F. Kennedy International,Non-Fatal,Substantial,Airplane,N1018D,De Havilland,DHC-2,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Personal,Susitna Air Service Inc,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,28-12-2004
20041207X01931,Accident,ANC05CA005,2004-10-11,"CHEFORNAK, AK",United States,60.149166,-164.285555,Unknown,John F. Kennedy International,Non-Fatal,Substantial,Airplane,N5277J,Cessna,207,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,SCHD,Personal,Hageland Aviation,0.0,0.0,0.0,3.0,VMC,Approach,Probable Cause,24-01-2005
20050329X00377,Accident,LAX05CA102,2005-02-21,"LIHUE, HI",United States,21.976111,-159.338889,PHLI,Lihue Airport,Non-Fatal,Substantial,Helicopter,N905BK,Aerospatiale,AS350BA,No,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,NSCH,Personal,Ohana Aviation Inc. (dba: Ohana Helicopter Tours),0.0,0.0,0.0,5.0,VMC,Maneuvering,Probable Cause,28-06-2006
20050302X00252,Accident,DFW05FA073,2005-02-21,"GENTRY, AR",United States,36.324723,-94.579445,Unknown,John F. Kennedy International,Fatal(1),Substantial,Helicopter,N5734M,Bell,206-L1,No,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,NSCH,Personal,Air Evac Lifeteam,1.0,3.0,0.0,3.0,VMC,Maneuvering,Probable Cause,12-07-2010
20050323X00356,Accident,NYC05FA054,2005-03-02,"NEWARK, NJ",United States,40.698611,-74.17,EWR,Newark International Airport,Non-Fatal,Substantial,Airplane,N78008,Boeing,777-200,No,2.0,Turbo Fan,Part 121: Air Carrier,SCHD,Personal,Continental Airlines Inc,0.0,0.0,0.0,214.0,VMC,Takeoff,Probable Cause,03-05-2012
20051213X01965,Accident,CHI05MA111B,2005-05-10,"MINNEAPOLIS, MN",United States,44.880556,-93.216945,MSP,MINNEAPOLIS-ST PAUL INTL/WOLD-,Non-Fatal,Substantial,Airplane,N368NB,Airbus Industrie,A-319-114,No,2.0,Turbo Fan,Part 121: Air Carrier,SCHD,Personal,Northwest Airlines Inc.,0.0,1.0,7.0,137.0,VMC,Taxi,Probable Cause,15-02-2018
20050523X00653,Incident,NYC05MA083,2005-05-12,"Union Star, MO",United States,39.966667,-94.583333,Unknown,John F. Kennedy International,Incident,Substantial,Airplane,N910ME,Boeing,717-200,No,2.0,Turbo Fan,Part 121: Air Carrier,SCHD,Personal,Midwest Airlines,0.0,0.0,0.0,80.0,IMC,Climb,Probable Cause,14-01-2009
20050722X01075,Accident,ANC05CA089,2005-07-03,"EXCURSION INLET, AK",United States,58.420556,-135.432223,Unknown,John F. Kennedy International,Non-Fatal,Substantial,Airplane,N39AK,Cessna,207A,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Personal,Wings Of Alaska (dba: Wings Of Alaska),0.0,0.0,0.0,5.0,VMC,Taxi,Probable Cause,27-10-2005
20050912X01435,Accident,ANC05CA101,2005-07-08,"AMBLER, AK",United States,67.166667,-157.583333,Unknown,John F. Kennedy International,Non-Fatal,Substantial,Helicopter,C-GLHQ,Hughes,500D,No,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,NSCH,Personal,"Prism Helicopters, Inc.",0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,20-12-2005
20050906X01394,Accident,ANC05CA099,2005-07-09,"AKIACHAK, AK",United States,60.905833,-161.426389,Unknown,John F. Kennedy International,Non-Fatal,Substantial,Airplane,N73788,Cessna,172,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Personal,Inland Aviation (dba: Inland Aviation),0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause,20-12-2005
20050907X01397,Accident,ANC05CA102,2005-07-14,"KARLUK, AK",United States,57.566945,-154.450278,PAKY,Karluk,Non-Fatal,Substantial,Airplane,N8152Z,Piper,PA-32-301,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Personal,Island Air (dba: Island Air),0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,20-12-2005
20050825X01313,Accident,IAD05LA118B,2005-08-08,"NEWARK, NJ",United States,40.7,-74.172223,EWR,Newark Liberty International,Non-Fatal,Substantial,Airplane,N10575,Embraer,EMB-145LR,No,2.0,Turbo Jet,Part 121: Air Carrier,SCHD,Personal,Continental Express Inc,0.0,0.0,0.0,205.0,VMC,Taxi,Probable Cause,15-02-2018
20050825X01313,Accident,IAD05LA118A,2005-08-08,"NEWARK, NJ",United States,40.7,-74.172223,EWR,Newark Liberty International,Non-Fatal,Substantial,Airplane,N73270,Boeing,737-824,No,2.0,Turbo Jet,Part 121: Air Carrier,SCHD,Personal,Continental Airlines Inc,0.0,0.0,0.0,205.0,VMC,Taxi,Probable Cause,15-02-2018
20050930X01552,Accident,ANC05CA132,2005-08-29,"TYONEK, AK",United States,61.166667,-151.034166,Unknown,John F. Kennedy International,Non-Fatal,Substantial,Airplane,N4714F,Cessna,172,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Personal,Great Northern Air Llc,0.0,0.0,0.0,4.0,VMC,Takeoff,Probable Cause,20-12-2005
20051109X01812,Accident,ANC05CA141,2005-09-11,"BETTLES, AK",United States,66.812778,-150.643889,PAPR,Prospect Creek,Non-Fatal,Substantial,Airplane,N58316,Cessna,185F,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Personal,Brooks Range Aviation,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,28-02-2006
20050927X01540,Incident,LAX05IA312,2005-09-21,"Los Angeles, CA",United States,33.9425,-118.408056,KLAX,Los Angeles International,Incident,Minor,Airplane,N536JB,Airbus Industrie,A320,No,2.0,Turbo Jet,Part 121: Air Carrier,SCHD,Personal,"Jet Blue Airways, Inc.",0.0,0.0,0.0,146.0,VMC,Takeoff,Probable Cause,25-11-2008
20051003X01565,Accident,SEA05MA199,2005-09-23,"HAENA, HI",United States,22.221389,-159.580278,Unknown,John F. Kennedy International,Fatal(3),Substantial,Helicopter,N355NT,Aerospatiale,AS350BA,No,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,NSCH,Personal,Heli Usa,3.0,0.0,3.0,3.0,IMC,Maneuvering,Probable Cause,17-11-2009
20051108X01803,Accident,MIA06CA003,2005-10-05,"JACKSONVILLE, FL",United States,30.336389,-81.514444,KCRG,Craig Municipal Airport,Non-Fatal,Substantial,Airplane,N4UT,Beech,58,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Personal,Ram Air Freight Inc,0.0,0.0,0.0,1.0,IMC,Landing,Probable Cause,31-01-2006
20051130X01907,Accident,DFW06CA017,2005-10-19,"HOUSTON, TX",United States,29.645277,-95.278889,HOU,WILLIAM P HOBBY,Non-Fatal,Substantial,Airplane,N564BR,Hawker Siddeley,125-700,No,2.0,Turbo Fan,Part 135: Air Taxi & Commuter,NSCH,Personal,Kaleidoscope Charter Services Corp.,0.0,0.0,0.0,10.0,VMC,Approach,Probable Cause,28-02-2006
20051230X02034,Accident,CHI06CA042,2005-12-07,"PIERRE, SD",United States,44.382778,-100.286111,PIR,Pierre Regional,Non-Fatal,Substantial,Airplane,N8403F,Cessna,310Q,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Personal,Air Max Airlines,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,28-03-2006
20060113X00079,Accident,LAX06CA061,2005-12-19,"FALLON, NV",United States,39.5,-119,NONE,Dixie Valley,Non-Fatal,Substantial,Airplane,N3199H,Beech,A36,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Personal,Fallon Airmotive,0.0,0.0,0.0,3.0,VMC,Takeoff,Probable Cause,28-03-2006
20060113X00067,Accident,ANC06CA012,2005-12-19,"BREVIG MISSION, AK",United States,65.316667,-166.45,KTS,Brevig Mission,Non-Fatal,Substantial,Airplane,N303GV,Cessna,208,No,1.0,Turbo Prop,Part 135: Air Taxi & Commuter,SCHD,Personal,"Hageland Aviation Services, Inc.",0.0,0.0,0.0,2.0,VMC,Taxi,Probable Cause,28-03-2006
20060109X00033,Incident,LAX06IA076,2006-01-02,"Santa Maria, CA",United States,35.0525,-120.121667,SBP,San Luis County Regional,Incident,Substantial,Airplane,N390AE,Saab-scania Ab (saab),SF340B+,No,2.0,Turbo Prop,Part 121: Air Carrier,SCHD,Personal,"American Eagle Airlines, Inc.",0.0,0.0,0.0,28.0,IMC,Climb,Probable Cause,30-04-2009
20060111X00057,Accident,LAX06FA080,2006-01-05,"LAHAINA, HI",United States,20.957222,-156.586944,Unknown,John F. Kennedy International,Non-Fatal,Substantial,Helicopter,N11QD,Eurocopter,EC 130B4,No,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,NSCH,Personal,"Helicopter Consultants Of Maui, Inc. (dba: Blue Hawaiian Helicopters)",0.0,0.0,0.0,6.0,VMC,Cruise,Probable Cause,30-05-2012
20060202X00151,Accident,LAX06LA098,2006-01-29,"KAHULUI, HI",United States,20.866667,-156.383333,OGG,Kahului,Non-Fatal,Substantial,Helicopter,N90Q,Eurocopter,AS350D,No,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,NSCH,Personal,"Alika Aviation, Inc. (dba: Alex Air)",0.0,0.0,0.0,7.0,VMC,Cruise,Probable Cause,25-06-2012
20060413X00438,Accident,DFW06CA089,2006-03-20,"SHREVEPORT, LA",United States,32.441111,-93.821945,KSHV,Shreveport Regional Airport,Non-Fatal,Substantial,Airplane,N662MW,Aero Commander,AC50,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Personal,"Central Air Southwest, Inc.",0.0,0.0,0.0,1.0,IMC,Approach,Probable Cause,29-08-2006
20060330X00368,Incident,DEN06IA051,2006-03-21,"Denver, CO",United States,39.861389,-104.673056,DEN,DENVER INTL,Incident,Minor,Airplane,N574AA,Mcdonnell Douglas,DC-9-82,No,2.0,Turbo Fan,Part 121: Air Carrier,SCHD,Personal,American Airlines Inc,0.0,0.0,0.0,138.0,VMC,Landing,Probable Cause,27-10-2015
20060831X01272,Accident,ANC06CA053,2006-05-14,"AKIACHAK, AK",United States,60.904722,-161.422223,Z13,AKIACHAK,Non-Fatal,Substantial,Airplane,N91099,Cessna,207,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Personal,Inland Aviation Services Inc,0.0,0.0,0.0,3.0,VMC,Standing,Probable Cause,29-11-2006
20060606X00685,Accident,ANC06LA066,2006-05-31,"JUNEAU, AK",United States,58.564167,-134.533056,Unknown,John F. Kennedy International,Non-Fatal,Substantial,Helicopter,N45RP,Bell,206L-1,No,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,NSCH,Personal,Coastal Helicopters Inc,0.0,0.0,3.0,4.0,VMC,Maneuvering,Probable Cause,27-02-2020
20060817X01185,Accident,ANC06CA088,2006-07-11,"FAIRBANKS, AK",United States,64.916667,-148.8,Unknown,John F. Kennedy International,Non-Fatal,Substantial,Airplane,N8440Q,Cessna,206F,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Personal,Marina Air (dba: Marina Air Inc.),0.0,0.0,0.0,5.0,VMC,Takeoff,Probable Cause,29-11-2006
20060725X01013,Accident,LAX06FA238,2006-07-15,"VAN NUYS, CA",United States,34.209722,-118.49,VNY,Van Nuys Airport,Non-Fatal,Substantial,Airplane,N554CL,Learjet,55,No,2.0,Turbo Fan,Part 135: Air Taxi & Commuter,NSCH,Personal,Clay Lacy Aviation,0.0,0.0,0.0,5.0,VMC,Approach,Probable Cause,22-06-2009
20060911X01326,Accident,ANC06CA115,2006-08-16,"TOK, AK",United States,63.914444,-143.514167,Unknown,John F. Kennedy International,Non-Fatal,Substantial,Airplane,N8597D,Piper,PA-18,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Personal,Forty Mile Air Ltd.,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,28-12-2006
20061015X01521,Accident,NYC06LA222A,2006-09-08,"New York, NY",United States,40.777223,-73.8725,LGA,La Guardia Airport,Non-Fatal,Minor,Airplane,C-GJTA,Airbus Industrie,A319-112,No,2.0,Turbo Fan,Part 129: Foreign,SCHD,Personal,Air Canada,0.0,0.0,0.0,179.0,VMC,Taxi,Probable Cause,11-01-2016
20070426X00458,Accident,CHI07FA020B,2006-11-07,"CHICAGO, IL",United States,41.978611,-87.904722,ORD,O'Hare International,Non-Fatal,Substantial,Airplane,N328UA,Boeing,737-300,No,2.0,Turbo Fan,Part 121: Air Carrier,SCHD,Personal,United Airlines Inc (dba: United Airlines),0.0,0.0,0.0,216.0,IMC,Standing,Probable Cause,15-02-2018
20070426X00458,Accident,CHI07FA020A,2006-11-07,"Chicago, IL",United States,41.978611,-87.904722,ORD,O'Hare International,Non-Fatal,Minor,Airplane,N428UA,Airbus,A-320-200,No,2.0,Turbo Fan,Part 121: Air Carrier,SCHD,Personal,United Airlines Inc (dba: United Airlines),0.0,0.0,0.0,216.0,IMC,Taxi,Probable Cause,15-02-2018
20070223X00221,Accident,CHI07CA075,2006-12-10,"WAUKEGAN, IL",United States,42.422223,-87.867778,UGN,WAUKEGAN REGIONAL,Non-Fatal,Substantial,Airplane,N523FX,"Bombardier, Inc.",BD-100-1A10,No,2.0,Turbo Fan,Part 135: Air Taxi & Commuter,NSCH,Personal,"Jet Solutions, Llc",0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,29-11-2007
20070321X00315,Accident,NYC07MA073,2007-03-08,"PRINCEVILLE, HI",United States,22.2,-159.433333,HI01,PRINCEVILLE,Fatal(4),Substantial,Helicopter,N354NT,Aerospatiale,AS350BA,No,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,NSCH,Personal,"Heli-usa Airways, Inc.",4.0,3.0,0.0,3.0,VMC,Maneuvering,Probable Cause,17-06-2009
20070503X00504,Accident,CHI07FA107,2007-04-07,"LAKE MICHIGAN, MI",United States,42.858333,-86.358333,ORD,Chicago O'Hare Intl,Non-Fatal,Substantial,Airplane,N77181,Canadair,CL-600-2B19,No,2.0,Turbo Fan,Part 121: Air Carrier,SCHD,Personal,"Mesa Airlines, Inc. (dba: United Express)",0.0,0.0,0.0,4.0,VMC,Cruise,Probable Cause,24-12-2008
20070501X00494,Accident,DCA07FA037,2007-04-12,"TRAVERSE CITY, MI",United States,44.741666,-85.593333,KTVC,Cherry Capitol Airport,Non-Fatal,Substantial,Airplane,N8905F,Bombardier,CL-600-2B19,No,2.0,Turbo Fan,Part 121: Air Carrier,SCHD,Personal,Pinnacle Air Inc (dba: Northwest Airlink),0.0,0.0,0.0,52.0,IMC,Landing,Probable Cause,04-06-2009
20070522X00617,Accident,DEN07CA087,2007-04-26,"HATCH, NM",United States,32.823056,-107.095,E05,HATCH MUNI,Non-Fatal,Substantial,Airplane,N3700G,Cessna,310R,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Personal,Aero Charter And Transport,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,27-06-2007
20070510X00542,Incident,MIA07IA088,2007-05-02,"Atlanta, GA",United States,33.636666,-84.428056,ATL,Hartsfield - Jackson Atlanta,Incident,Substantial,Airplane,N270AX,Mcdonnell Douglas,DC-10-30,No,3.0,Turbo Fan,Part 121: Air Carrier,NSCH,Personal,Omni Air International Inc,0.0,0.0,0.0,306.0,VMC,Descent,Probable Cause,29-01-2009
20070615X00735,Accident,CHI07CA152,2007-05-22,"KOKOMO, IN",United States,40.528056,-86.058889,OKK,KOKOMO MUNI,Non-Fatal,Substantial,Airplane,N85SC,Cessna,421C,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Personal,"Miller, Dave (dba: Miller Aviation)",0.0,0.0,0.0,5.0,VMC,Takeoff,Probable Cause,27-06-2007
20070613X00718,Accident,CHI07MA160,2007-06-04,"Milwaukee, WI",United States,43.036666,-87.856389,MKE,GENERAL MITCHELL INTERNATIONAL,Fatal(6),Destroyed,Airplane,N550BP,Cessna,550,No,2.0,Turbo Fan,Part 135: Air Taxi & Commuter,NSCH,Personal,Marlin Air Inc,6.0,0.0,0.0,3.0,VMC,Climb,Probable Cause,17-11-2009
20070627X00819,Incident,LAX07IA191,2007-06-13,"Phoenix, AZ",United States,33.434444,-112.011667,PHX,Pheonix Sky Harbor Intl.,Incident,Substantial,Airplane,N7264V,"Bombardier, Inc.",CL-600-2B19,No,2.0,Turbo Fan,Part 121: Air Carrier,SCHD,Personal,"Mesa Airlines, Inc. (dba: Us Airways Express)",0.0,0.0,0.0,53.0,VMC,Standing,Probable Cause,29-01-2009
20070702X00851,Accident,ANC07CA049,2007-06-17,"EGEGIK, AK",United States,56.186944,-157.385555,Unknown,John F. Kennedy International,Non-Fatal,Substantial,Airplane,N27MR,Britten-norman,BN2A26,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Personal,Island Air Service,0.0,0.0,0.0,7.0,VMC,Landing,Probable Cause,30-08-2007
20070911X01360,Accident,MIA07CA119,2007-07-12,"Atlanta, GA",United States,33.636666,-84.428334,ATL,THE WILLIAM B HARTSFIELD ATLAN,Non-Fatal,Substantial,Airplane,N865DA,Boeing,777-232,No,2.0,Turbo Fan,Part 121: Air Carrier,SCHD,Personal,Delta Air Lines Inc,0.0,1.0,0.0,250.0,VMC,Taxi,Probable Cause,31-10-2007
20070827X01242,Accident,MIA07LA131,2007-08-09,"RIDGEVILLE, SC",United States,33.166667,-80.35,Unknown,John F. Kennedy International,Non-Fatal,Substantial,Helicopter,N171MU,Mbb,BK-117 A-4,No,2.0,Turbo Shaft,Part 135: Air Taxi & Commuter,NSCH,Personal,"Omniflight Helicopters Inc.,",0.0,0.0,0.0,5.0,VMC,Takeoff,Probable Cause,13-01-2014
20071025X01659,Accident,DFW07CA185,2007-08-12,"HOUMA, TX",United States,28.513889,-91.015278,Unknown,John F. Kennedy International,Non-Fatal,Substantial,Helicopter,N85TC,Bell,206,No,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,NSCH,Personal,Evergreen Helicopters (dba: Evergreen Helicopters International Inc.),0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,29-11-2007
20070904X01308,Accident,NYC07LA202,2007-08-23,"WESTHAMPTON, NY",United States,40.843333,-72.631667,FOK,Francis S. Gabreski,Non-Fatal,Substantial,Airplane,N9CU,Learjet Inc,60,No,2.0,Turbo Fan,Part 135: Air Taxi & Commuter,NSCH,Personal,"Jet Share Us, Llc",0.0,0.0,0.0,6.0,IMC,Landing,Probable Cause,11-06-2009
20071101X01701,Accident,ANC07CA097,2007-09-10,"MCGRATH, AK",United States,61.902222,-154.551944,Unknown,John F. Kennedy International,Non-Fatal,Substantial,Airplane,N94260,Cessna,185,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Personal,Servant Air Inc,0.0,0.0,0.0,4.0,VMC,Takeoff,Probable Cause,20-12-2007
20071009X01533,Accident,NYC07FA234,2007-09-21,"Ft. Lauderdale, FL",United States,26.197222,-80.170556,KFXE,Fort Lauderdale Executive,Non-Fatal,Destroyed,Airplane,N123MD,Beech,H-18,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Personal,Monarch Air Group,0.0,1.0,0.0,3.0,VMC,Takeoff,Probable Cause,28-09-2009
20071005X01522,Accident,DCA07MA310,2007-09-28,"ST. LOUIS, MO",United States,38.748611,-90.366945,STL,Lambert-St. Louis Int Airport,Non-Fatal,Substantial,Airplane,N454AA,Mcdonnell Douglas,DC-9-82 (MD-82),No,2.0,Turbo Fan,Part 121: Air Carrier,SCHD,Personal,American Airlines,0.0,0.0,0.0,143.0,VMC,Climb,Probable Cause,28-03-2010
20071017X01599,Incident,DFW08IA002,2007-10-06,"Galveston, TX",United States,29.175278,-91.621945,Unknown,John F. Kennedy International,Incident,Minor,Helicopter,N3899C,Bell Helicopter Textron,206L-1,No,1.0,Turbo Shaft,Part 135: Air Taxi & Commuter,NSCH,Personal,"Air Logistics Llc, A Bristow Company (dba: Air Logistics Llc)",0.0,0.0,0.0,3.0,VMC,Takeoff,Probable Cause,09-12-2011
20071120X01824,Accident,ANC08CA002,2007-10-07,"KING SALMON, AK",United States,57.938055,-156.055,Unknown,John F. Kennedy International,Non-Fatal,Substantial,Airplane,N24BR,De Havilland,DHC-2,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,NSCH,Personal,Branch River Air,0.0,0.0,1.0,2.0,VMC,Approach,Probable Cause,31-01-2008
